[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.801288, time=11.317342 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.801854, time=11.447917 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.951403, time=0.198388 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.820573, time=0.195367 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.748214, time=0.190368 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.751951, time=0.181929 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.768272, time=0.182398 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.649177, time=0.181253 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.720313, time=0.186513 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.977334, time=0.181253 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.935575, time=0.178335 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.838479, time=0.186513 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.846663, time=0.180158 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.791098, time=0.179794 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.722098, time=0.185471 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.823881, time=0.181826 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.804096, time=0.177138 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.776148, time=0.180003 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.675758, time=0.182399 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.822271, time=0.182555 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.720941, time=0.180940 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.712761, time=0.177867 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.685230, time=0.179742 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.770782, time=0.181253 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.802859, time=0.183804 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.614924, time=0.206045 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.752256, time=0.183804 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.783653, time=0.182034 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.507341, time=0.178492 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.715830, time=0.188180 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.645267, time=0.185003 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.699309, time=0.186253 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.670033, time=0.182502 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.852664, time=11.602606 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.842528, time=11.347759 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.800838, time=11.379790 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_scor [RUNNING]  Bag Time: 1777606587.368377   Duration: 1.766769 / 96.405450                [RUNNING]  Bag Time: 1777606587.398736   Duration: 1.797128 / 96.405450                [RUNNING]  Bag Time: 1777606587.428449   Duration: 1.826841 / 96.405450                [RUNNING]  Bag Time: 1777606587.448539   Duration: 1.846931 / 96.405450                [RUNNING]  Bag Time: 1777606587.478421   Duration: 1.876813 / 96.405450                [RUNNING]  Bag Time: 1777606587.498470   Duration: 1.896862 / 96.405450               e=0.819572, time=11.255153 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.872159, time=11.566981 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.941478, time=11.292810 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.314842 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.365676 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=1.000000, time=11.366821 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.991885, time=11.364374 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.927057, time=11.376718 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.878703, time=11.407499 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.842394, time=11.440572 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.802775, time=11.281560 ms
[Baseline] candidates=256, scan_points=1081, width=467, height=314, best_score=0.800577, time=11.304582 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.728080, time=0.186669 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.678870, time=0.188544 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.518253, time=0.184638 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.483735, time=0.194534 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.621813, time=0.177815 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.518848, time=0.177190 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.515325, time=0.171461 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.571370, time=0.182920 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.459614, time=0.178492 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.470091, time=0.177190 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.827212, time=0.187659 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.792520, time=0.177815 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.715423, time=0.178492 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.734179, time=0.174065 ms
[Baseline] candidates=4, scan_points=1081, width=467, height=314, best_score=0.744721, time=0.174742 ms
